allcode,0to12,13to18,19to25,26to40,41to60,61to90,,code,0to12,13to18,19to25,26to40,41to60,61to90,,age0to12,age13to18,age19to25,age26to40,age41to60,age61to90
E02004297,1059,464,541,1416,2384,2088,,E02000166,1300,482,580,1751,2327,1798,,0.2566646,0.297533811,0.08097748,0.148306378,0.42384106,0.494051553
E02004290,793,370,425,962,1881,1467,,E02000167,1361,406,393,2024,2214,1853,,0.275573466,0.237072395,0.03617633,0.18996033,0.388205613,0.512227363
E02004298,1304,647,604,1537,2995,2660,,E02000168,1311,473,717,2639,2229,1412,,0.260074396,0.290373906,0.113799713,0.283796155,0.392935982,0.366490416
E02004299,1250,537,715,1505,2411,2120,,E02000169,1424,679,1067,1768,1995,1622,,0.295102294,0.454256165,0.197652132,0.150900214,0.319142226,0.435888962
E02004291,992,435,590,1260,1957,1583,,E02000170,1273,362,787,3081,1986,1262,,0.248295102,0.202068417,0.130570196,0.351235886,0.316304005,0.316920026
E02004300,1186,464,702,1307,2071,2009,,E02000171,1243,453,620,2519,2183,1390,,0.23899566,0.274463007,0.090560613,0.265486726,0.378429518,0.359220093
E02004292,1046,493,546,1136,2209,2571,,E02000172,1869,776,1425,3084,2582,1412,,0.433044017,0.531424025,0.283421179,0.351693622,0.504257332,0.366490416
E02004301,1636,688,780,1729,2413,1854,,E02000173,1297,338,665,2902,2002,1300,,0.255734656,0.182975338,0.101341639,0.323924321,0.321349732,0.329477859
E02004302,1157,474,723,1422,2153,1758,,E02000174,1307,535,941,2984,2131,1207,,0.25883447,0.339697693,0.167465261,0.336435764,0.362030905,0.298744217
E02004303,1577,723,896,2218,3361,2643,,E02000175,1123,333,975,4099,1823,1126,,0.201797892,0.178997613,0.175610925,0.506560879,0.264900662,0.271976206
E02004293,1366,688,834,1663,2749,2249,,E02000176,1018,189,373,2608,1716,1117,,0.169249845,0.064439141,0.031384763,0.279066219,0.231157364,0.269001983
E02004304,1490,608,725,1789,2430,2138,,E02000177,1498,614,1124,2801,2008,1541,,0.318040918,0.402545744,0.211308098,0.308513885,0.32324188,0.409120952
E02004294,1045,545,658,1215,2841,2217,,E02000178,1232,436,1041,3613,2056,1187,,0.235585865,0.260938743,0.191423095,0.43240769,0.33837906,0.292134831
E02004305,1451,711,758,1724,2447,1925,,E02000179,1230,360,483,1978,1625,1080,,0.234965902,0.200477327,0.05773838,0.182941715,0.202459792,0.25677462
E02004295,995,551,541,1138,2180,2025,,E02000180,1177,516,1507,2334,1792,1008,,0.218536888,0.324582339,0.303066603,0.237259689,0.255124566,0.232980833
E02004320,1231,501,694,1664,2659,2165,,E02000181,1166,307,647,3344,1747,1027,,0.215127092,0.158313445,0.097029229,0.391364052,0.240933459,0.239259749
E02004321,1260,495,756,1641,2439,1886,,E02000182,1213,394,678,2219,1764,1235,,0.229696218,0.227525855,0.104456157,0.219713152,0.246294544,0.307997356
E02004322,1445,624,799,1490,2158,2004,,E02000183,1159,392,607,2241,2171,1545,,0.212957223,0.225934765,0.087446095,0.223069881,0.374645222,0.410442829
E02004296,1127,530,643,1512,2473,1933,,E02000184,1340,620,1583,2514,1822,983,,0.269063856,0.407319014,0.321274557,0.264723833,0.264585304,0.224719101
E02004306,725,321,312,852,1738,1911,,E02000185,1559,493,743,2599,2061,1526,,0.336949783,0.306284805,0.120028749,0.277693012,0.33995585,0.404163913
E02004323,1218,488,938,1640,2219,1678,,E02000186,744,338,1126,2183,1568,922,,0.084314941,0.182975338,0.211787254,0.214220323,0.18448439,0.204560476
E02004308,819,414,498,1495,2525,2273,,E02000187,1794,680,1441,2021,1872,1152,,0.409795412,0.45505171,0.287254432,0.189502594,0.280353201,0.280568407
E02004309,853,360,441,1200,1698,1562,,E02000188,1360,584,2022,1766,1570,950,,0.275263484,0.378679395,0.426449449,0.150595056,0.185115106,0.213813615
E02004307,891,472,475,1070,1991,1555,,E02000189,960,434,1311,1744,1078,710,,0.151270924,0.259347653,0.256109248,0.147238328,0.029959003,0.134500991
E02004324,815,359,465,971,1668,1402,,E02000190,784,438,2395,1848,1472,1063,,0.096714197,0.262529833,0.515812171,0.1631065,0.154210028,0.251156642
E02004310,1189,532,598,1527,2274,1945,,E02000191,506,395,3253,2167,1296,766,,0.010539368,0.2283214,0.721370388,0.211779066,0.098707032,0.15300727
E02004311,1346,598,586,1648,2666,2283,,E02000192,1045,362,1008,2319,1941,1058,,0.177619343,0.202068417,0.18351701,0.23497101,0.302112898,0.249504296
E02004312,835,397,459,1174,1970,2667,,E02000193,553,252,1708,2613,1922,1171,,0.025108493,0.114558473,0.35122185,0.279829112,0.296121097,0.286847323
E02004313,886,399,1436,1583,1391,1256,,E02000001,773,227,665,2394,2343,1670,,0.093304402,0.094669849,0.101341639,0.246414403,0.428886787,0.451751487
E02004314,242,573,8981,1247,847,1062,,E02000345,2864,925,921,2173,1608,839,,0.741475511,0.649960223,0.162673694,0.212694538,0.197098707,0.177131527
E02004316,878,337,478,1088,1757,1360,,E02000346,1057,463,656,1810,1530,772,,0.18133912,0.282418457,0.099185434,0.157308514,0.172500788,0.154990086
E02004325,1417,710,827,1565,2392,1718,,E02000347,2366,742,761,2255,1520,827,,0.587104774,0.504375497,0.12434116,0.225205981,0.169347209,0.173165896
E02004315,1387,769,2316,1872,2628,1901,,E02000348,2471,762,715,2167,1665,737,,0.619652821,0.520286396,0.113320556,0.211779066,0.215074109,0.143423662
E02004326,993,474,579,1099,1750,1463,,E02000350,1829,622,839,3980,2002,800,,0.420644761,0.408910103,0.14302827,0.488404028,0.321349732,0.164243225
E02004328,1229,623,624,1284,2032,1486,,E02000351,1053,408,991,4191,1734,702,,0.180099194,0.238663484,0.179444178,0.520598108,0.236833806,0.131857237
