code,total,active_old,active,0.863629706
E02000166,6020,0.705813954,0.817264562,
E02000167,5885,0.75768904,0.877330915,
E02000168,6371,0.746507613,0.864383899,
E02000169,5586,0.677407805,0.784372979,
E02000170,6748,0.781416716,0.904805278,
E02000171,6026,0.745436442,0.863143587,
E02000172,7637,0.623543276,0.722003044,
E02000173,5963,0.758510817,0.878282453,
E02000174,6919,0.719179072,0.832740082,
E02000175,7452,0.786097692,0.910225397,
E02000176,5130,0.795711501,0.921357262,
E02000177,6704,0.67825179,0.785350232,
E02000178,7266,0.733003028,0.848746891,
E02000179,4663,0.709843448,0.821930329,
E02000180,6578,0.666615993,0.7718771,
E02000181,6305,0.79666931,0.922466313,
E02000182,4950,0.671919192,0.778017694,
E02000183,6267,0.715015159,0.827918672,
E02000184,7036,0.63530415,0.735621003,
E02000185,6195,0.677966102,0.785019433,
E02000186,5584,0.69269341,0.802072237,
E02000187,5962,0.559376048,0.647703576,
E02000188,6409,0.534872835,0.619331215,
E02000189,4595,0.55734494,0.645351748,
E02000190,6366,0.507854226,0.588046268,
E02000191,6788,0.505598114,0.585433909,
E02000192,5684,0.676284307,0.783072076,
E02000193,6744,0.654507711,0.757856876,
E02000001,6307,0.788330427,0.912810689,
E02000345,5429,0.637686498,0.738379533,
E02000346,4600,0.608043478,0.704055771,
E02000347,5183,0.650588462,0.753318764,
E02000348,5147,0.626190014,0.725067711,
E02000350,7335,0.757600545,0.877228447,
E02000351,7210,0.790846047,0.915723535,
E02000352,4971,0.720981694,0.834827345,
E02000353,6240,0.787660256,0.912034696,
E02000354,7305,0.690759754,0.799833249,
E02000355,6691,0.740397549,0.857309034,
E02000356,5861,0.793721208,0.919052695,
E02000357,4288,0.603777985,0.699116741,
E02000358,8893,0.74732936,0.865335404,
E02000359,4998,0.707282913,0.818965476,
E02000360,8521,0.700974064,0.811660437,
E02000361,6184,0.762451488,0.882845371,
E02000362,4766,0.684431389,0.792505613,
E02000363,7628,0.657839539,0.761714812,
E02000364,7201,0.763505069,0.884065316,
E02000365,10658,0.770688685,0.892383251,
E02000366,6407,0.690338692,0.799345701,
E02000367,7833,0.777607558,0.90039464,
E02000368,7330,0.677353342,0.784309917,
E02000369,9120,0.709100877,0.821070503,
E02000370,6554,0.697284101,0.807387815,
E02000371,10557,0.739604054,0.856390244,
E02006918,5392,0.679154303,0.786395255,
E02006921,5121,0.621558289,0.71970462,
E02000372,6945,0.675449964,0.782105988,
E02000373,4684,0.636421862,0.736915205,
E02000374,5158,0.704148895,0.815336585,
E02000375,5628,0.747867804,0.86595887,
E02000376,5769,0.771884209,0.893767553,
E02000377,6516,0.748158379,0.866295328,
E02000378,5483,0.789166515,0.913778798,
E02000379,5798,0.750431183,0.868927016,
E02000380,4620,0.760606061,0.880708544,
E02000381,6202,0.76620445,0.88719094,
E02000382,4834,0.747621018,0.865673115,
E02000383,7955,0.716153363,0.829236602,
E02000384,5785,0.712878133,0.825444202,
E02000385,5505,0.806357857,0.933684716,
E02000386,6460,0.698606811,0.808919386,
E02000387,5164,0.712238575,0.824703655,
E02000388,6804,0.763815403,0.884424653,
E02000389,6596,0.731958763,0.847537733,
E02000390,5272,0.736342944,0.852614192,
E02000391,6053,0.738641996,0.855276273,
E02000392,7570,0.778863937,0.901849406,
E02000393,4913,0.79829025,0.924343205,
E02000394,6175,0.708987854,0.820939634,
E02000395,4627,0.783012751,0.906653333,
E02000396,5036,0.736100079,0.852332979,
E02000397,6152,0.736996099,0.853370483,
E02000398,4994,0.615939127,0.713198172,
E02000400,5688,0.724683544,0.839113731,
E02000401,4611,0.618087183,0.715685413,
E02000402,4633,0.606734297,0.702539866,
E02000403,5746,0.74260355,0.859863371,
E02000404,5432,0.670103093,0.775914826,
E02000405,4906,0.77843457,0.90135224,
E02000406,5337,0.688963837,0.797753751,
E02000407,5301,0.632710809,0.732618164,
E02000408,5419,0.618748847,0.716451556,
E02000409,4806,0.640657511,0.741819679,
E02000410,5145,0.792031098,0.91709571,
E02000411,5590,0.64078712,0.741969754,
E02000412,5431,0.677591604,0.7845858,
E02000413,5283,0.748059815,0.8661812,
E02000414,5383,0.713542634,0.82621363,
E02000415,5369,0.719873347,0.833543986,
E02000416,5846,0.734348272,0.850304555,
E02000417,5177,0.797179834,0.92305745,
E02000418,4180,0.772488038,0.89446673,
E02000419,6590,0.745068285,0.862717297,
E02000420,5690,0.695079086,0.80483462,
E02000421,5433,0.666482606,0.771722651,
E02000422,5885,0.666949873,0.772263701,
E02000423,5537,0.728914575,0.844012856,
E02000424,5670,0.792592593,0.917745867,
E02000425,4466,0.671965965,0.778071853,
E02000426,5074,0.751478124,0.870139273,
E02000427,5652,0.76556971,0.886455972,
E02000428,5284,0.67676003,0.783622918,
E02000429,5406,0.80299667,0.929792786,
E02000430,6102,0.83726647,0.969473913,
E02000431,5491,0.822983063,0.952935104,
E02000432,5308,0.792954032,0.918164378,
E02006794,5045,0.619821606,0.717693708,
E02000554,7088,0.680586907,0.788054073,
E02000555,7310,0.713543092,0.82621416,
E02000556,8057,0.74829341,0.86645168,
E02000557,6428,0.72993155,0.845190415,
E02000558,6408,0.641229713,0.742482234,
E02000559,7183,0.788110817,0.912556402,
E02000560,5990,0.741736227,0.858859095,
E02000561,6312,0.734474018,0.850450156,
E02000562,6107,0.733420665,0.849230475,
E02000563,6660,0.676726727,0.783584356,
E02000564,8838,0.764313193,0.885001046,
E02000565,6268,0.698787492,0.809128597,
E02000566,6650,0.777593985,0.900378924,
E02000567,8309,0.758575039,0.878356817,
E02000568,7688,0.589360042,0.682422151,
E02000569,7816,0.718142272,0.831539568,
E02000570,7209,0.783742544,0.907498363,
E02000571,6334,0.707925482,0.819709508,
E02000572,6492,0.596888478,0.691139355,
E02000573,7256,0.767916207,0.88917299,
E02000574,7140,0.685014006,0.793180227,
E02000575,10195,0.661304561,0.765726974,
E02000576,7411,0.664552692,0.769487997,
E02000577,5399,0.627708835,0.72682636,
E02000578,4240,0.623820755,0.722324337,
E02000579,6709,0.713519153,0.826186442,
E02000580,7159,0.733622014,0.849463618,
E02000581,5416,0.622599705,0.720910479,
E02000582,6220,0.751768489,0.870475487,
E02000583,5763,0.730695818,0.846075365,
E02000584,6473,0.718677584,0.832159407,
E02000585,6541,0.693166183,0.802619662,
E02000586,6221,0.680758721,0.788253016,
E02000587,5834,0.670894755,0.776831495,
E02000588,6711,0.70704813,0.81869362,
E02000589,7103,0.663100099,0.767806033,
E02000590,5587,0.66547342,0.770554111,
E02000591,5683,0.693999648,0.803584735,
E02000592,5482,0.718898212,0.832414874,
E02000593,6293,0.746543779,0.864425776,
