allcodes,male metric,female metric,code,foundmale,foundfemale,male_opacity,female_opacity
E02004297,7936.01608,7968.016113,E02000166,7334.428637,9252.887629,0.175985573,0.400254932
E02004290,5763.550117,6035.586278,E02000167,7981.475203,8529.626325,0.225918172,0.341176085
E02004298,9261.405162,10258.05559,E02000168,8277.840929,9314.743018,0.248788722,0.405307526
E02004299,8367.715213,8711.750118,E02000169,7847.515688,9326.266797,0.215580513,0.406248833
E02004291,6483.368918,7167.799579,E02000170,8955.358613,8551.30479,0.301072778,0.342946867
E02004300,7294.162902,8210.965646,E02000171,7979.219286,8859.822179,0.225744083,0.36814779
E02004292,7435.701471,8609.275298,E02000172,10782.10482,11526.31199,0.442042826,0.585957238
E02004301,8886.533449,9318.594306,E02000173,8665.519468,8345.491146,0.278705884,0.326135194
E02004302,7444.874264,7937.000264,E02000174,8227.432574,10076.17191,0.244898708,0.467504053
E02004303,11454.05684,11382.05666,E02000175,9108.389532,9864.690205,0.312882177,0.45022939
E02004293,8853.300908,10299.36765,E02000176,7099.435692,6943.430878,0.157851162,0.211609358
E02004304,8505.70829,9907.746319,E02000177,8880.920418,10347.0577,0.29532838,0.489631077
E02004294,8344.839954,8700.878795,E02000178,10017.45398,9132.981811,0.383034703,0.39046055
E02004305,8786.947,9251.02382,E02000179,6341.14089,7198.000611,0.099333534,0.232403622
E02004295,6717.847258,8217.647392,E02000180,8097.406671,8577.506209,0.234864606,0.345087103
E02004320,8692.779526,9140.850261,E02000181,8178.217707,8298.219298,0.241100795,0.322273842
E02004321,8563.438463,8391.434038,E02000182,6924.219118,8130.159956,0.144329695,0.308546089
E02004322,7683.214286,9447.920792,E02000183,7745.603324,8502.013626,0.207715933,0.33892057
E02004296,8326.714356,8110.705029,E02000184,8679.890552,9047.930217,0.279814901,0.383513199
E02004306,5576.003664,6156.359118,E02000185,8394.777897,9608.159023,0.257812751,0.429274907
E02004323,8352.784832,8012.748125,E02000186,7536.832217,6282.236308,0.191605062,0.157600367
E02004308,8946.104375,7196.939953,E02000187,8316.006025,9653.865059,0.251733923,0.433008357
E02004309,5286.120769,7071.536508,E02000188,8466.758655,8042.688682,0.263367507,0.301401089
E02004307,5855.135934,7114.115961,E02000189,6347.978648,6127.961538,0.099861204,0.144998593
E02004324,5728.203678,5632.201964,E02000190,8153.45785,7849.430411,0.239190077,0.285614988
E02004310,7807.187653,8331.325939,E02000191,10110.33921,6950.774602,0.390202658,0.212209223
E02004311,8611.954216,9672.848567,E02000192,8919.544974,6704.298165,0.298309038,0.192076051
E02004312,7063.218427,7968.039582,E02000193,9651.889153,6998.833071,0.354824056,0.216134829
E02004313,6981.064879,6921.064599,E02000001,10174.20106,6404.157298,0.395130879,0.167559357
E02004314,13230.97237,12678.9097,E02000345,9593.673913,9073.572939,0.350331585,0.385607798
E02004316,5639.779104,6168.043704,E02000346,5866.609284,6739.658649,0.062713918,0.194964436
E02004325,8073.476671,9222.748022,E02000347,8275.287281,8671.341376,0.248591657,0.352751931
E02004315,11080.9701,10668.93313,E02000348,8471.123888,8563.124559,0.263704372,0.343912353
E02004326,6282.451532,6434.456962,E02000350,10032.07927,10112.07959,0.384163336,0.470437134
E02004328,6628.349173,7991.323724,E02000351,8867.492706,9295.552162,0.294292164,0.40373994
E02004327,5861.122237,6253.224983,E02000352,6293.502387,8027.908928,0.095657269,0.30019382
E02004329,6498.237885,6918.340909,E02000353,7453.320674,8787.579639,0.185160474,0.362246733
E02004317,7196.578588,8157.521423,E02000354,10380.0123,10412.01232,0.411013337,0.494936828
E02004330,5680.444009,6284.830014,E02000355,8828.201839,8948.203206,0.291260086,0.375367102
E02004331,7101.12532,7017.124576,E02000356,7243.395693,7871.667298,0.168960558,0.287431385
E02004318,6077.989884,6682.329155,E02000357,5867.860011,7401.011598,0.062810437,0.248986364
E02004348,7717.803116,8213.92345,E02000358,11841.77131,11573.76253,0.523817314,0.589833186
E02004332,6949.165765,7553.428249,E02000359,6170.438466,7292.393279,0.086160424,0.240113989
E02004319,7482.989236,7915.074328,E02000360,11100.83257,12065.25079,0.466639054,0.629979894
E02004349,8758.305297,9682.887057,E02000361,7948.101865,8216.120289,0.22334275,0.31556767
E02004350,9410.806648,10026.96151,E02000362,6785.128797,6869.129592,0.133596091,0.205540135
