all code,all income,code,income,,min,max,mean,stdev,,income_high,income_low,income_middle,income_middle_pre,income_Z
E02004297,450,E02000166,630,,300,980,541.0770855,133.0226791,,0.485294118,0.514705882,0.638989402,0.799368127,0.668479353
E02004290,460,E02000167,880,,,,,,,0.852941176,0.147058824,0.0521624,0.228390893,2.54785813
E02004298,470,E02000168,640,,Z_min,Z_max,,,,0.5,0.5,0.602997346,0.776529037,0.743654504
E02004299,380,E02000169,770,,0.008097007,3.29960964,,,,0.691176471,0.308823529,0.230036185,0.479620876,1.720931468
E02004291,370,E02000170,700,,,,,,,0.588235294,0.411764706,0.408953217,0.639494501,1.19470541
E02004300,350,E02000171,680,,,,,,,0.558823529,0.441176471,0.469461601,0.68517268,1.044355108
E02004292,460,E02000172,410,,,,,,,0.161764706,0.838235294,0.494338134,0.703091839,0.985373971
E02004301,340,E02000173,790,,,JERRY!!!,WINSTON!!!,,,0.720588235,0.279411765,0.188306265,0.433942697,1.87128177
E02004302,350,E02000174,530,,,,USE,DON'T USE,,0.338235294,0.661764706,0.954843445,0.977160911,0.083272158
E02004303,390,E02000175,680,,,,"K, L M","N, O",,0.558823529,0.441176471,0.469461601,0.68517268,1.044355108
E02004293,350,E02000176,810,,,,,,,0.75,0.25,0.150749336,0.388264519,2.021632072
E02004304,380,E02000177,480,,,,,,,0.264705882,0.735294118,0.744709392,0.862965464,0.459147913
E02004294,520,E02000178,530,,,,,,,0.338235294,0.661764706,0.954843445,0.977160911,0.083272158
E02004305,370,E02000179,610,,,,,,,0.455882353,0.544117647,0.714103258,0.845046305,0.518129051
E02004295,430,E02000180,500,,,,,,,0.294117647,0.705882353,0.825633269,0.908643643,0.308797611
E02004320,430,E02000181,790,,,,,,,0.720588235,0.279411765,0.188306265,0.433942697,1.87128177
E02004321,380,E02000182,630,,,,,,,0.485294118,0.514705882,0.638989402,0.799368127,0.668479353
E02004322,340,E02000183,630,,,,,,,0.485294118,0.514705882,0.638989402,0.799368127,0.668479353
E02004296,400,E02000184,430,,,,,,,0.191176471,0.808823529,0.560656539,0.748770017,0.835023669
E02004306,490,E02000185,430,,,,,,,0.191176471,0.808823529,0.560656539,0.748770017,0.835023669
E02004323,380,E02000186,520,,,,,,,0.323529412,0.676470588,0.910730139,0.954321821,0.158447309
E02004308,520,E02000187,350,,,,,,,0.073529412,0.926470588,0.32042087,0.566057303,1.436424877
E02004309,450,E02000188,360,,,,,,,0.088235294,0.911764706,0.346798961,0.588896392,1.361249726
E02004307,410,E02000189,370,,,,,,,0.102941176,0.897058824,0.374220299,0.611735481,1.286074575
E02004324,410,E02000190,420,,,,,,,0.176470588,0.823529412,0.526975712,0.725930928,0.91019882
E02004310,410,E02000191,490,,,,,,,0.279411765,0.720588235,0.784649707,0.885804553,0.383972762
E02004311,430,E02000192,480,,,,,,,0.264705882,0.735294118,0.744709392,0.862965464,0.459147913
E02004312,500,E02000193,550,,,,,,,0.367647059,0.632352941,0.964482779,0.982080841,0.067078144
E02004313,360,E02000001,810,,,,,,,0.75,0.25,0.150749336,0.388264519,2.021632072
E02004314,410,E02000345,420,,,,,,,0.176470588,0.823529412,0.526975712,0.725930928,0.91019882
E02004316,400,E02000346,350,,,,,,,0.073529412,0.926470588,0.32042087,0.566057303,1.436424877
E02004325,340,E02000347,430,,,,,,,0.191176471,0.808823529,0.560656539,0.748770017,0.835023669
E02004315,550,E02000348,370,,,,,,,0.102941176,0.897058824,0.374220299,0.611735481,1.286074575
E02004326,400,E02000350,510,,,,,,,0.308823529,0.691176471,0.86766008,0.931482732,0.23362246
E02004328,380,E02000351,600,,,,,,,0.441176471,0.558823529,0.753225058,0.867885395,0.4429539
E02004327,390,E02000352,530,,,,,,,0.338235294,0.661764706,0.954843445,0.977160911,0.083272158
E02004329,460,E02000353,600,,,,,,,0.441176471,0.558823529,0.753225058,0.867885395,0.4429539
E02004317,390,E02000354,420,,,,,,,0.176470588,0.823529412,0.526975712,0.725930928,0.91019882
E02004330,380,E02000355,500,,,,,,,0.294117647,0.705882353,0.825633269,0.908643643,0.308797611
E02004331,370,E02000356,600,,,,,,,0.441176471,0.558823529,0.753225058,0.867885395,0.4429539
E02004318,470,E02000357,340,,,,,,,0.058823529,0.941176471,0.295086027,0.543218213,1.511600028
E02004348,430,E02000358,480,,,,,,,0.264705882,0.735294118,0.744709392,0.862965464,0.459147913
E02004332,420,E02000359,470,,,,,,,0.25,0.75,0.705812325,0.840126375,0.534323064
E02004319,440,E02000360,390,,,,,,,0.132352941,0.867647059,0.43219272,0.65741366,1.135724273
E02004349,360,E02000361,460,,,,,,,0.235294118,0.764705882,0.667958507,0.817287285,0.609498215
E02004350,410,E02000362,420,,,,,,,0.176470588,0.823529412,0.526975712,0.725930928,0.91019882
E02004333,430,E02000363,350,,,,,,,0.073529412,0.926470588,0.32042087,0.566057303,1.436424877
E02004334,400,E02000364,560,,,,,,,0.382352941,0.617647059,0.920144739,0.959241752,0.142253295
E02004335,320,E02000365,520,,,,,,,0.323529412,0.676470588,0.910730139,0.954321821,0.158447309
E02004336,360,E02000366,460,,,,,,,0.235294118,0.764705882,0.667958507,0.817287285,0.609498215
E02004351,350,E02000367,530,,,,,,,0.338235294,0.661764706,0.954843445,0.977160911,0.083272158
E02004337,390,E02000368,390,,,,,,,0.132352941,0.867647059,0.43219272,0.65741366,1.135724273
E02004338,350,E02000369,440,,,,,,,0.205882353,0.794117647,0.595380614,0.771609107,0.759848518
E02004339,530,E02000370,430,,,,,,,0.191176471,0.808823529,0.560656539,0.748770017,0.835023669
E02004352,370,E02000371,500,,,,,,,0.294117647,0.705882353,0.825633269,0.908643643,0.308797611
E02004353,430,E02006918,370,,,,,,,0.102941176,0.897058824,0.374220299,0.611735481,1.286074575
E02004354,390,E02006921,360,,,,,,,0.088235294,0.911764706,0.346798961,0.588896392,1.361249726
E02004355,330,E02000372,420,,,,,,,0.176470588,0.823529412,0.526975712,0.725930928,0.91019882
E02004340,350,E02000373,340,,,,,,,0.058823529,0.941176471,0.295086027,0.543218213,1.511600028
E02004341,490,E02000374,540,,,,,,,0.352941176,0.647058824,1,1,0.008097007
E02004342,330,E02000375,490,,,,,,,0.279411765,0.720588235,0.784649707,0.885804553,0.383972762
E02004343,370,E02000376,510,,,,,,,0.308823529,0.691176471,0.86766008,0.931482732,0.23362246
E02004344,410,E02000377,500,,,,,,,0.294117647,0.705882353,0.825633269,0.908643643,0.308797611
E02004345,410,E02000378,610,,,,,,,0.455882353,0.544117647,0.714103258,0.845046305,0.518129051
E02004346,470,E02000379,590,,,,,,,0.426470588,0.573529412,0.793390106,0.890724484,0.367778749
